
Frequency: 22050, Amplitude pozitiv: 0, Amplitude negativ: 0, .-<<||||   ;
Frequency: 130, Amplitude pozitiv: 3909, Amplitude negativ: 3646, .-<<||||   145, 468, 813, 1278, 1559, 1940, 2135, 2559, 2832, 3171, 3716, 4137, 4446, 4803, 5276, 5712, 6201, 6484, 6744, 7111, 7412, 7615, 7917, 8402, 8652, 8641, 8507, 8075, 7788, 7682, 7819, 7952, 8158, 8090, 7896, 7460, 6950, 6467, 6207, 6056, 5979, 5958, 5471, 4812, 4047, 3359, 2563, 2122, 2037, 2096, 2139, 2192, 2246, 1983, 2030, 1896, 1570, 1396, 1133, 1118, 1283, 1491, 1811, 1912, 1984, 1831, 1845, 1787, 1747, 1769, 1656, 1529, 1525, 1288, 1165, 1085, 905, 617, 165, -12, -267, -594, -803, -957, -1166, -1397, -1567, -1910, -2387, -2858, -3274, -3534, -3838, -4010, -4047, -4293, -4461, -4415, -4473, -4554, -4643, -4712, -4916, -4856, -4837, -4715, -4595, -4494, -4272, -4305, -4208, -4278, -4397, -4264, -4384, -4324, -4272, -4392, -4245, -4153, -4209, -4301, -4287, -4330, -4268, -4324, -4421, -4381, -4470, -4574, -4542, -4649, -4653, -4877, -4913, -4849, -4919, -4893, -4933, -4929, -4934, -5016, -5135, -4944, -4919, -4850, -4733, -4675, -4605, -4377, -4218, -4085, -3929, -3829, -3575, -3239, -3074, -2766, -2542, -2397, -2192, -1975, -1769, -1599, -1217, -906, -641, -216, -14, ;


Frequency: 131, Amplitude pozitiv: 4238, Amplitude negativ: 3696, .-<<||||   379, 700, 850, 1187, 1517, 1925, 2242, 2536, 2845, 3221, 3753, 4133, 4659, 5086, 5334, 5894, 6237, 6666, 7182, 7440, 7823, 8040, 8525, 8966, 9064, 9092, 8749, 8445, 8434, 8516, 8430, 8630, 8879, 8778, 8411, 7829, 7455, 6934, 6785, 6744, 6702, 6637, 6216, 5477, 4710, 3876, 3238, 2861, 2721, 2758, 2964, 3141, 3073, 2961, 2754, 2438, 1989, 1828, 1646, 1644, 1865, 2245, 2387, 2520, 2356, 2240, 2240, 2160, 2137, 1926, 1893, 1939, 1920, 1720, 1537, 1399, 1144, 856, 509, 364, 5, -234, -448, -676, -850, -1173, -1240, -1582, -2119, -2569, -2924, -3137, -3293, -3445, -3546, -3650, -3770, -3862, -4034, -4090, -4246, -4451, -4667, -4753, -4654, -4458, -4348, -4254, -4215, -4258, -4196, -4156, -4191, -4294, -4338, -4389, -4372, -4390, -4377, -4467, -4605, -4629, -4720, -4688, -4703, -4745, -4726, -4734, -4874, -5011, -4986, -5085, -5211, -5379, -5350, -5188, -5124, -5100, -5200, -5219, -5244, -5217, -5306, -5062, -4926, -4858, -4600, -4458, -4306, -4332, -4099, -3924, -3817, -3593, -3274, -2953, -2623, -2369, -2358, -2109, -2002, -1869, -1555, -1312, -967, -690, -331, -23, ;


Frequency: 130, Amplitude pozitiv: 4399, Amplitude negativ: 4077, .-<<||||   332, 645, 922, 1088, 1323, 1740, 2264, 2540, 2702, 3188, 3624, 3985, 4483, 4960, 5252, 5760, 6232, 6583, 7001, 7307, 7723, 8100, 8428, 8813, 9262, 9593, 9566, 9418, 9063, 8853, 8819, 8969, 9243, 9470, 9353, 8910, 8508, 7915, 7546, 7118, 6868, 6954, 6848, 6483, 5820, 5016, 4164, 3248, 2763, 2712, 2761, 2930, 3243, 3156, 2943, 2633, 2240, 2065, 1745, 1752, 1792, 1840, 2019, 2251, 2353, 2352, 2350, 2207, 2136, 2090, 2218, 2133, 1846, 1789, 1728, 1678, 1596, 1377, 905, 615, 429, 134, -146, -384, -593, -842, -1079, -1321, -1690, -2110, -2394, -2733, -3181, -3561, -3558, -3792, -4066, -4158, -4103, -4128, -4354, -4407, -4582, -4905, -5034, -5048, -4977, -4876, -4759, -4639, -4728, -4874, -4893, -4919, -4994, -5069, -4967, -4936, -5082, -5156, -5095, -5280, -5270, -5278, -5316, -5299, -5409, -5451, -5481, -5521, -5638, -5695, -5664, -5671, -5665, -5545, -5646, -5740, -5758, -5704, -5751, -5826, -5648, -5538, -5437, -5352, -5254, -5120, -5052, -4913, -4678, -4479, -4378, -4111, -3754, -3387, -3226, -2926, -2739, -2636, -2525, -2266, -2166, -2012, -1581, -1226, -848, -542, -238, ;


Frequency: 130, Amplitude pozitiv: 4073, Amplitude negativ: 4288, .-<<||||   118, 381, 559, 835, 1136, 1637, 2020, 2508, 2898, 3123, 3527, 3939, 4347, 4771, 5314, 5747, 6199, 6776, 7084, 7372, 7594, 7941, 8365, 8855, 9216, 9222, 9023, 8769, 8493, 8421, 8518, 8528, 8636, 8721, 8478, 8058, 7548, 7047, 6574, 6434, 6377, 6477, 6248, 5647, 4995, 3963, 2943, 2257, 1902, 1885, 2030, 2339, 2523, 2310, 2131, 2022, 1692, 1426, 1245, 1029, 1124, 1497, 1890, 2220, 2216, 2107, 2071, 2013, 2076, 2163, 2038, 1903, 1677, 1627, 1702, 1530, 1353, 997, 799, 558, 236, -46, -340, -663, -851, -1039, -1265, -1560, -1964, -2392, -2867, -3310, -3718, -3850, -3939, -4026, -4197, -4284, -4367, -4529, -4601, -4884, -5053, -5247, -5257, -5102, -5093, -5037, -4874, -5005, -5068, -5064, -5021, -5007, -5135, -5324, -5448, -5393, -5311, -5227, -5258, -5232, -5394, -5422, -5440, -5620, -5688, -5710, -5721, -5771, -5789, -6003, -5968, -5920, -5994, -6024, -6170, -6108, -6039, -6102, -6113, -6133, -6092, -6067, -6010, -5774, -5777, -5582, -5564, -5361, -5071, -4886, -4531, -4351, -4075, -3810, -3480, -3224, -3048, -2853, -2622, -2345, -2184, -1834, -1525, -1155, -737, -382, -38, ;


Frequency: 130, Amplitude pozitiv: 4528, Amplitude negativ: 4005, .-<<||||   238, 509, 906, 1360, 1721, 1957, 2274, 2668, 3187, 3703, 3993, 4443, 5003, 5485, 6048, 6420, 6731, 7221, 7601, 8032, 8359, 8748, 9333, 9707, 9782, 9773, 9579, 9177, 9057, 9068, 9160, 9330, 9552, 9435, 8978, 8545, 8040, 7587, 7291, 7210, 7245, 6936, 6396, 5842, 5078, 4110, 3164, 2707, 2676, 2776, 3081, 3378, 3271, 3086, 2937, 2653, 2274, 1997, 1909, 1766, 1990, 2335, 2585, 2681, 2663, 2605, 2581, 2608, 2575, 2649, 2518, 2377, 2380, 2354, 2114, 1970, 1771, 1492, 1109, 765, 717, 417, 141, -103, -377, -629, -941, -1142, -1613, -2091, -2496, -2962, -3177, -3342, -3396, -3477, -3715, -3779, -3905, -4003, -4162, -4313, -4691, -4776, -4718, -4759, -4453, -4465, -4504, -4600, -4651, -4630, -4665, -4613, -4730, -4843, -4938, -4894, -4896, -4800, -4735, -4789, -4869, -4865, -4891, -5010, -5173, -5195, -5250, -5420, -5426, -5346, -5403, -5528, -5529, -5531, -5411, -5507, -5531, -5518, -5649, -5594, -5577, -5537, -5494, -5490, -5377, -5162, -5111, -5072, -4647, -4458, -4318, -3991, -3755, -3773, -3432, -3258, -3127, -2831, -2749, -2435, -2280, -1790, -1409, -1165, -876, -660, -258, ;


Frequency: 135, Amplitude pozitiv: 4813, Amplitude negativ: 5211, .-<<||||   130, 431, 780, 1163, 1726, 1993, 1931, 2489, 3456, 3818, 3828, 4487, 5299, 5419, 5839, 6693, 7258, 7385, 7816, 8398, 8738, 9349, 9875, 10126, 10033, 9553, 9376, 10190, 10964, 10711, 9852, 9538, 9768, 9358, 9212, 9689, 9488, 8231, 7295, 6580, 6435, 6339, 5870, 5067, 3895, 2715, 1473, 681, 578, 1034, 1248, 938, 380, 335, 930, 1528, 1683, 1901, 1666, 1412, 1740, 2715, 3650, 3883, 3892, 4185, 4693, 5049, 5561, 5713, 5384, 4992, 5406, 5874, 5750, 5104, 4188, 3585, 2617, 1786, 1774, 1450, 904, 94, -678, -1480, -2051, -2657, -3457, -4489, -5774, -6433, -6500, -6423, -6735, -7233, -7778, -8031, -8118, -7695, -7156, -7165, -7211, -6996, -6872, -6507, -5762, -5057, -4850, -4968, -4625, -4179, -3879, -3491, -3352, -3369, -3165, -2726, -2104, -1876, -2035, -2481, -3023, -3353, -3578, -3650, -3933, -4610, -5395, -5829, -6044, -6374, -6865, -7079, -7800, -8232, -8155, -8149, -8444, -8757, -8981, -9221, -9190, -8683, -8231, -7995, -7920, -7703, -7006, -6205, -5275, -4641, -4233, -3924, -3588, -3207, -2587, -2189, -1941, -1635, -1358, -871, -482, ;


Frequency: 432, Amplitude pozitiv: 6293, Amplitude negativ: 1843, .-<<||||   209, 725, 829, 1169, 1796, 2458, 2944, 3249, 3400, 3459, 3739, 4359, 5109, 5723, 6211, 6766, 7328, 8006, 8786, 9482, 10106, 10505, 11204, 12067, 12600, 13081, 13325, 12732, 10867, 7978, 5447, 4104, 4281, 4858, 4637, 3019, -424, -3342, -3666, -1733, -1, -1, -111, -2235, -3602, -3218, -2238, -1834, -2000, -2189, -1053, ;


Frequency: 479, Amplitude pozitiv: 8916, Amplitude negativ: 3485, .-<<||||   2087, 6107, 8645, 9213, 8604, 8565, 9748, 12033, 13778, 13394, 11339, 9201, 8230, 8930, 10209, 10846, 10522, 9439, 8845, 8648, 7908, 6054, 2730, -871, -3348, -3812, -2958, -2403, -3452, -5492, -7246, -7680, -6365, -4251, -3114, -3183, -3639, -3773, -3195, -2372, -2015, -2540, -3299, -3153, -1911, -84, ;


Frequency: 306, Amplitude pozitiv: 966, Amplitude negativ: 5306, .-<<||||   1295, 1143, 352, 1, 387, 1300, 1836, 1416, -428, -2269, -3154, -2789, -2257, -1957, -2486, -3242, -3205, -2558, -2136, -2612, -3888, -5630, -6788, -6880, -6342, -6236, -6761, -7631, -8022, -7663, -7059, -6582, -6965, -7730, -8467, -8652, -8238, -7793, -7948, -8417, -9114, -9320, -8847, -8187, -7855, -8089, -8342, -8322, -7922, -7299, -7134, -7559, -7962, -8074, -7493, -6632, -5678, -5043, -4679, -4328, -3631, -2878, -2196, -1725, -1816, -1855, -1620, -1221, -757, -447, -466, -336, ;


Frequency: 265, Amplitude pozitiv: 6114, Amplitude negativ: 6734, .-<<||||   123, 1045, 1996, 2550, 2751, 2923, 3333, 3974, 4590, 5222, 5754, 6092, 6695, 7412, 8321, 9128, 9691, 10230, 10891, 11401, 11937, 12246, 12315, 12261, 12628, 12294, 11150, 8212, 4040, 1423, 351, 1595, 2992, 2712, 52, 1, 1, 1, 1, 2441, 3352, 1444, 1, 1, 84, 1618, 2493, 2698, 3078, 5648, 10104, 14270, 15728, 14545, 12912, 12321, 13506, 15181, 15136, 12267, 8459, 5509, 5088, 6425, 7263, 6867, 5122, 3600, 2885, 2617, 1167, -2325, -6784, -10180, -11122, -9430, -6919, -5692, -6358, -7329, -7272, -5120, -2277, ;


Frequency: 262, Amplitude pozitiv: 2167, Amplitude negativ: 5050, .-<<||||   98, 1071, 760, 851, 1486, 2621, 3160, 2826, 1806, 1361, 2256, 3958, 5269, 5110, 3562, 1931, 1297, 1503, 1742, 682, -1652, -4116, -5616, -5328, -4199, -3348, -3774, -4686, -4734, -4042, -2978, -2967, -4076, -5961, -7316, -7315, -6329, -5565, -5759, -6405, -6780, -6174, -5285, -4476, -4611, -5665, -6885, -7398, -6922, -6371, -6217, -6652, -7207, -7403, -6952, -6447, -6023, -6187, -6637, -6942, -6687, -6226, -6372, -6618, -7276, -7719, -7349, -6354, -5334, -5056, -5085, -4792, -4207, -3325, -2602, -2376, -2282, -2365, -2050, -1796, -1449, -1026, -994, -510, ;


Frequency: 595, Amplitude pozitiv: 7080, Amplitude negativ: 2201, .-<<||||   279, 1469, 2432, 3102, 3458, 3665, 4230, 5135, 6096, 6558, 6728, 6779, 7264, 8139, 9155, 9687, 9908, 10269, 10674, 11495, 12351, 12998, 12942, 11425, 8744, 5220, 983, -1528, -1895, -631, -1, -1, -1835, -5310, -6544, -4181, -86, ;


Frequency: 512, Amplitude pozitiv: 7751, Amplitude negativ: 5725, .-<<||||   3342, 4838, 3628, 1221, 368, 1642, 2959, 3665, 4992, 6822, 10079, 14449, 17942, 18468, 16605, 14839, 14232, 14903, 15691, 14576, 11072, 6988, 4260, 3799, 4941, 5912, 6005, 4756, 3410, 2450, 1434, -681, -4585, -8566, -11216, -11195, -8832, -6079, -4185, -3980, -4252, -3576, -1556, ;


Frequency: 253, Amplitude pozitiv: 3016, Amplitude negativ: 5234, .-<<||||   1159, 3487, 4187, 3587, 2871, 2599, 2909, 3313, 3454, 2775, 2470, 2910, 3702, 4086, 3289, 1466, -543, -1749, -2142, -2136, -2922, -4816, -6637, -7183, -6665, -5382, -4093, -3445, -3485, -3455, -2956, -2801, -3090, -3887, -5434, -7004, -7289, -6581, -5851, -5393, -5224, -5348, -5404, -5266, -5382, -6126, -7374, -8517, -9165, -9178, -8758, -8425, -8400, -8408, -8282, -7534, -6626, -6315, -6435, -6817, -7382, -7402, -7081, -7260, -7501, -7907, -7960, -7347, -6293, -5106, -4610, -4428, -4582, -4461, -4128, -3719, -3513, -3525, -3503, -3336, -2792, -2185, -1852, -1917, -1885, -1465, -608, ;


Frequency: 630, Amplitude pozitiv: 6913, Amplitude negativ: 4614, .-<<||||   608, 1589, 2074, 2509, 2746, 3257, 4143, 5172, 6129, 6669, 7157, 7650, 8377, 9011, 9537, 10100, 10577, 10838, 11508, 12109, 12567, 12031, 9710, 6165, 609, -3825, -5185, -3795, -1626, -1204, -2822, -6676, -9458, -8053, -3505, ;


Frequency: 512, Amplitude pozitiv: 6898, Amplitude negativ: 5911, .-<<||||   869, 3262, 2890, 276, 1, 1, 979, 1986, 3412, 5390, 8664, 13413, 17872, 19339, 17479, 14876, 13310, 13414, 14453, 14180, 11357, 7187, 3809, 2497, 3277, 4607, 5188, 4393, 2950, 1835, 682, -1278, -4899, -9352, -12427, -13285, -11193, -7272, -3944, -2458, -2287, -1919, -625, ;


Frequency: 250, Amplitude pozitiv: 3865, Amplitude negativ: 5459, .-<<||||   1564, 4081, 5456, 5275, 4604, 3891, 3960, 4355, 4356, 3971, 3353, 3354, 3959, 4476, 3744, 1444, -1094, -3033, -4058, -4392, -4447, -5384, -7003, -7743, -7033, -5563, -3787, -2402, -2304, -2492, -2496, -2216, -2537, -3514, -4887, -6503, -7296, -6698, -5607, -5035, -4742, -5060, -5414, -5492, -5644, -6447, -7882, -9279, -10397, -10387, -9382, -8204, -7626, -7660, -7689, -7473, -6870, -6351, -6454, -7140, -7950, -8304, -8108, -7581, -7576, -7999, -8319, -8169, -7390, -6373, -5568, -5534, -5826, -6007, -5649, -4877, -3910, -3126, -4029, -4002, -2559, -1904, -2279, -2146, -579, -1245, -2775, -167, ;


Frequency: 648, Amplitude pozitiv: 6958, Amplitude negativ: 4516, .-<<||||   2217, 1186, 585, 2968, 4333, 3803, 5242, 7078, 6606, 5772, 6546, 7922, 8090, 8281, 9445, 9714, 9849, 10530, 11710, 12431, 12248, 10624, 7485, 2338, -2979, -5797, -5488, -2706, -870, -1777, -5024, -8296, -7951, -4281, ;


Frequency: 512, Amplitude pozitiv: 6633, Amplitude negativ: 5164, .-<<||||   851, 5037, 5115, 2077, 1, 1, 109, 1523, 3292, 4875, 7159, 11807, 16832, 19462, 18790, 15949, 13220, 12034, 12385, 12756, 10842, 6714, 2914, 1049, 1323, 3106, 4800, 4824, 3399, 2152, 1241, -262, -3213, -7251, -11156, -13605, -12589, -8244, -3809, -1247, -351, -211, -34, ;


Frequency: 250, Amplitude pozitiv: 3967, Amplitude negativ: 5155, .-<<||||   1739, 4730, 6697, 6288, 5107, 3738, 3165, 3899, 4573, 4632, 3521, 2742, 3126, 4286, 4506, 3532, 1167, -1712, -3591, -3986, -3185, -3562, -5894, -7554, -7074, -5258, -2976, -1154, -617, -1634, -2372, -1686, -999, -1403, -3043, -5710, -7761, -7669, -6300, -5190, -4624, -4449, -4705, -4850, -4340, -4209, -5596, -7760, -9345, -9877, -9058, -7774, -6630, -6739, -7226, -7207, -6603, -5289, -4520, -4654, -6007, -7298, -7912, -7776, -7582, -8208, -9020, -9603, -9356, -7936, -6210, -5558, -5817, -6393, -6519, -5864, -4590, -3657, -3850, -4511, -4634, -3948, -2771, -1628, -1133, -1080, -965, -401, ;


Frequency: 612, Amplitude pozitiv: 6743, Amplitude negativ: 3742, .-<<||||   797, 1995, 2627, 2739, 2881, 3443, 4418, 5549, 6311, 6212, 5997, 6230, 7007, 7788, 8623, 9208, 9345, 9499, 10155, 11292, 11632, 11940, 11004, 8201, 3705, -1893, -5636, -6156, -3498, -473, -1, -1706, -6144, -8707, -6374, -577, ;


Frequency: 580, Amplitude pozitiv: 7124, Amplitude negativ: 6443, .-<<||||   4958, 7212, 5200, 1425, 1, 1, 2325, 4478, 6104, 7339, 10131, 14929, 19017, 20337, 18105, 14321, 11546, 10710, 11570, 11334, 8498, 4018, 385, 1, 1583, 4354, 5619, 4595, 2641, 1004, -274, -1760, -4547, -8519, -11762, -12176, -8939, -3572, ;


Frequency: 239, Amplitude pozitiv: 3509, Amplitude negativ: 4980, .-<<||||   988, 3029, 2686, 1746, 2401, 4697, 7279, 8079, 6987, 5033, 3341, 3373, 4245, 4415, 3390, 2228, 1557, 1908, 2739, 2781, 791, -2360, -5090, -7191, -7205, -5849, -5170, -5923, -6828, -6402, -4900, -2715, -572, -1, -1, -680, -1192, -1717, -2421, -3937, -6306, -7482, -6581, -4589, -3199, -2621, -3247, -4430, -5469, -6246, -6776, -7715, -8860, -10000, -10220, -9119, -7651, -6773, -6167, -5700, -5231, -4605, -4238, -4850, -6077, -7492, -8549, -8559, -8059, -7591, -7326, -7287, -7101, -6738, -6177, -5846, -5528, -5485, -5378, -5001, -4393, -4078, -4148, -3986, -3614, -2805, -1612, -527, -282, -589, -768, -400, ;


Frequency: 512, Amplitude pozitiv: 6723, Amplitude negativ: 3096, .-<<||||   307, 1460, 2462, 3154, 3732, 4284, 4891, 5270, 5670, 5921, 6117, 6584, 7165, 7550, 7865, 7967, 8204, 9098, 10128, 11199, 11794, 11779, 11282, 9108, 5108, -843, -6083, -7978, -6287, -2511, -1, -418, -5167, -9348, -8927, -4107, -1, -1, -1, -1, -1708, -2194, -161, ;


Frequency: 711, Amplitude pozitiv: 8262, Amplitude negativ: 6764, .-<<||||   2700, 5238, 6409, 8375, 12600, 17858, 20844, 19836, 15960, 11866, 9823, 10234, 10859, 9606, 5990, 1415, 1, 232, 3403, 5948, 5916, 3701, 1225, -504, -1532, -3567, -7090, -10866, -13206, -11460, -5893, ;


Frequency: 239, Amplitude pozitiv: 3431, Amplitude negativ: 5374, .-<<||||   200, 3612, 3858, 2660, 2127, 3597, 6187, 8154, 7805, 5332, 2954, 2436, 3217, 4223, 3975, 2648, 1337, 1112, 2048, 2712, 1877, -1131, -4298, -6157, -5903, -4451, -3775, -4337, -6320, -7591, -6103, -2542, -1, -1, -32, -1710, -3165, -3218, -2695, -3222, -5382, -7359, -7859, -6774, -4792, -3839, -4533, -5798, -6497, -6695, -6543, -6829, -8014, -9639, -10612, -10054, -8703, -7250, -6487, -6410, -6656, -6570, -6250, -5959, -6407, -7299, -7991, -8280, -8314, -8193, -8240, -8858, -9418, -9128, -8072, -7010, -5834, -5093, -5043, -5023, -4757, -4365, -3935, -3469, -3045, -2508, -2048, -1951, -1900, -1592, -1211, -419, ;


Frequency: 501, Amplitude pozitiv: 6381, Amplitude negativ: 3222, .-<<||||   1007, 2228, 2802, 3137, 3218, 3138, 3189, 3403, 3821, 4078, 4386, 4831, 5362, 6240, 6973, 7916, 8614, 9423, 10547, 11267, 11490, 11473, 11415, 10946, 9357, 5661, -487, -5875, -8038, -5945, -1351, -1, -1, -4016, -9613, -10436, -5212, -1, -1, -1, -1, -3323, -3526, -185, ;


Frequency: 711, Amplitude pozitiv: 8192, Amplitude negativ: 6364, .-<<||||   3890, 6367, 6922, 8068, 11908, 17352, 20691, 19807, 15448, 10468, 7778, 8558, 10091, 9384, 5586, 986, 1, 1, 3031, 5741, 5362, 2801, -79, -1937, -2545, -3998, -6932, -11202, -13571, -11412, -5603, ;


Frequency: 242, Amplitude pozitiv: 3706, Amplitude negativ: 4784, .-<<||||   1011, 5135, 5435, 3464, 2096, 3325, 6160, 8243, 7989, 5559, 3241, 2561, 3632, 4841, 4662, 3214, 1752, 1192, 1574, 1999, 753, -1856, -4771, -6137, -5514, -4259, -3792, -4559, -5504, -5054, -2832, -1, -1, -1, -1, -1499, -2460, -2269, -2051, -3013, -4766, -6195, -6324, -5110, -3676, -3103, -3765, -5164, -6417, -7165, -7982, -8794, -9880, -10602, -10192, -8797, -6800, -4944, -3985, -3912, -4356, -4951, -5333, -5793, -6226, -6921, -7223, -7088, -6825, -6720, -7019, -7173, -7155, -6787, -6220, -5599, -5464, -5505, -5771, -5910, -5514, -4880, -3961, -3086, -2195, -1738, -1455, -1503, -1485, -1207, -722, ;


Frequency: 501, Amplitude pozitiv: 6478, Amplitude negativ: 3039, .-<<||||   28, 1046, 2268, 2932, 3304, 3767, 4184, 4627, 4862, 4945, 5069, 5268, 5798, 6439, 7203, 7883, 8580, 9115, 10071, 11259, 12391, 13042, 12649, 12229, 9933, 5965, 63, -5559, -7849, -6358, -1804, -1, -1, -2531, -7771, -9157, -5182, -1, -1, -1, -1, -1699, -2923, -836, ;


Frequency: 711, Amplitude pozitiv: 8391, Amplitude negativ: 6345, .-<<||||   3123, 6257, 7739, 9113, 12514, 17560, 20952, 20471, 16446, 11572, 8650, 8773, 10115, 9979, 6752, 2329, 1, 1, 3078, 5906, 6234, 4158, 1271, -1104, -2277, -3483, -6085, -9841, -12173, -10521, -5278, ;


Frequency: 239, Amplitude pozitiv: 4235, Amplitude negativ: 4675, .-<<||||   1322, 5904, 6884, 5091, 3252, 3716, 6308, 8638, 8872, 6742, 3926, 2810, 3536, 5066, 5316, 3888, 1887, 578, 1053, 2136, 2028, -131, -3384, -5535, -5538, -3789, -2128, -2511, -4544, -5677, -4284, -1219, -1, -1, -1, -1805, -3104, -2714, -1732, -2021, -3908, -6375, -7833, -6696, -4822, -3628, -3826, -4867, -6303, -7430, -7764, -7722, -8340, -9261, -9391, -8737, -7109, -5500, -4566, -4610, -5163, -5715, -5887, -5641, -5417, -5487, -6114, -6718, -7146, -7253, -7283, -7651, -7901, -7856, -7253, -6213, -5065, -4572, -4672, -5166, -5306, -4685, -3787, -3008, -2564, -2102, -1980, -1798, -1518, -1208, -857, -171, ;


Frequency: 501, Amplitude pozitiv: 6630, Amplitude negativ: 3464, .-<<||||   697, 1632, 2391, 3113, 3448, 3301, 3312, 3532, 3899, 4465, 5082, 5585, 6066, 6648, 7359, 8243, 9151, 9967, 11109, 11768, 12285, 12294, 12291, 11462, 8820, 4485, -2048, -7125, -8745, -5787, -980, -1, -1, -5390, -10415, -10339, -4693, -1, -1, -1, -1, -3427, -3354, -60, ;


Frequency: 711, Amplitude pozitiv: 8110, Amplitude negativ: 5944, .-<<||||   4188, 6722, 7560, 8981, 12762, 17982, 20837, 19415, 14936, 10043, 7670, 8035, 9364, 8746, 5025, 338, 1, 1, 2536, 5187, 5212, 2884, -43, -2141, -2922, -4333, -7224, -10688, -12359, -9928, -3865, ;


Frequency: 239, Amplitude pozitiv: 3878, Amplitude negativ: 4852, .-<<||||   2862, 6731, 6715, 4464, 2855, 3587, 6063, 8238, 8099, 5868, 3309, 2452, 3307, 4595, 4585, 2987, 1173, 328, 905, 1503, 816, -1425, -4427, -6120, -5641, -3906, -2617, -2705, -3333, -3313, -2750, -1145, -1, -1, -1, -1923, -2613, -2983, -3492, -4207, -5335, -6352, -6441, -5641, -4409, -3483, -3770, -5596, -7760, -8868, -9189, -9418, -9373, -8622, -7847, -6941, -5714, -4677, -4275, -4557, -5164, -5909, -6321, -6632, -7130, -7511, -7439, -6951, -6843, -6878, -7147, -7456, -7583, -7567, -7481, -7146, -7143, -6958, -6357, -5591, -4874, -4104, -3374, -2814, -2156, -1691, -1287, -1055, -1267, -1541, -1473, -825, ;


Frequency: 294, Amplitude pozitiv: 5507, Amplitude negativ: 6122, .-<<||||   327, 1635, 2750, 3504, 3788, 3784, 3853, 4050, 4319, 4244, 4384, 4595, 5172, 6009, 7017, 8289, 9210, 10378, 11384, 12249, 12621, 12386, 11894, 10463, 7783, 2310, 1, 1, 1, 1, 105, 2590, 69, 1, 1, 1, 1, 4229, 6968, 4347, 1, 1, 1, 1053, 5336, 7346, 7915, 9737, 14318, 19175, 21044, 18683, 13597, 8778, 6744, 7967, 9106, 7725, 3682, 1, 1, 1, 3232, 5287, 4453, 1593, -1178, -2697, -3340, -4928, -7914, -11422, -12431, -8846, -2345, ;


Frequency: 242, Amplitude pozitiv: 3579, Amplitude negativ: 4645, .-<<||||   4040, 7155, 6473, 3835, 2280, 3490, 6089, 7766, 7185, 4794, 2691, 2264, 3349, 4185, 3645, 1947, 194, 1, 861, 1903, 1027, -2710, -6621, -7726, -5965, -3448, -2123, -2367, -3693, -4527, -2800, -1, -1, -1, -1, -1533, -2497, -2184, -2443, -3921, -5629, -6847, -6946, -5352, -3135, -2420, -3723, -6175, -8316, -9631, -10068, -9800, -9536, -9331, -8779, -7734, -6150, -4276, -2823, -2656, -3341, -4415, -5103, -5498, -6022, -6573, -7095, -7459, -7373, -6673, -5964, -5728, -5847, -5984, -5980, -5995, -5908, -5846, -6124, -6126, -6020, -5506, -4322, -2902, -1372, -539, -171, -174, -380, -456, -384, ;


Frequency: 595, Amplitude pozitiv: 6294, Amplitude negativ: 5151, .-<<||||   304, 1158, 2026, 2821, 3417, 4014, 4446, 4836, 5352, 5342, 5365, 5490, 5520, 6004, 6777, 7574, 8243, 8742, 9755, 10761, 11786, 12313, 12323, 10945, 7194, 1150, -5789, -9645, -9106, -4903, -320, -1, -1541, -7263, -10316, -7396, -389, ;


Frequency: 580, Amplitude pozitiv: 6797, Amplitude negativ: 5862, .-<<||||   6311, 8490, 5352, 391, 1, 1, 1365, 4892, 6829, 8163, 10874, 15980, 20120, 20937, 18115, 13171, 8876, 7236, 8140, 8784, 7138, 3067, 1, 1, 655, 4000, 6082, 5549, 3079, 339, -1556, -2735, -4793, -7979, -11098, -11153, -7099, -484, ;


Frequency: 256, Amplitude pozitiv: 4261, Amplitude negativ: 4420, .-<<||||   5645, 8306, 7501, 4960, 3650, 4768, 7251, 8679, 7740, 5135, 2901, 2636, 3863, 4810, 4405, 2680, 768, 225, 1120, 1860, 597, -2039, -4766, -5648, -4333, -2156, -637, -679, -1468, -1266, -1, -1, -1, -1, -1, -1298, -2907, -3140, -2563, -3512, -5371, -6879, -7288, -6608, -5132, -3991, -4073, -5516, -7382, -8858, -9496, -9131, -8731, -8421, -7285, -5382, -3644, -2439, -1942, -2130, -3214, -4102, -4602, -5037, -5661, -6150, -6523, -6604, -6597, -6795, -7159, -7234, -6821, -6215, -5584, -5233, -5184, -5565, -5901, -5906, -5309, -4218, -3012, -1802, -765, -5, ;


Frequency: 450, Amplitude pozitiv: 5698, Amplitude negativ: 3935, .-<<||||   343, 471, 392, 128, 1, 252, 1166, 2369, 3244, 3719, 3701, 3837, 4222, 4700, 5342, 5480, 5290, 5110, 5342, 6066, 7165, 8293, 9327, 10284, 11399, 12221, 13139, 13442, 13380, 11966, 8334, 2226, -4823, -8797, -8823, -4516, -1, -1, -1081, -7898, -11618, -9376, -2130, -1, -1, -1, -534, -3905, -3394, ;


